* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (2- OmniMic                  ), MICROPHONE (Master Volume), L, volume: 0,520
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: Jul 14, 2023 12:35:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Charlie3 50 -12
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.141602	50.279	-103.0282
20.507813	50.217	-102.7367
20.874023	49.796	-100.7423
21.240234	49.182	-97.2618
21.606445	48.434	-92.1393
21.972656	47.665	-85.8589
22.338867	47.015	-79.5238
22.705078	46.580	-74.4846
23.071289	46.340	-71.8495
23.437500	46.186	-72.1629
23.803711	45.990	-75.3731
24.169922	45.663	-80.9920
24.536133	45.160	-88.2744
24.902344	44.465	-96.3186
25.268555	43.584	-104.1020
25.634766	42.539	-110.5418
26.000977	41.379	-114.6750
26.367188	40.194	-115.9868
26.733399	39.142	-114.7680
27.099610	38.428	-112.2522
27.465821	38.196	-110.3309
27.832032	38.412	-110.9255
28.198243	38.903	-115.3539
28.564454	39.495	-124.0044
28.930665	40.084	-136.3641
29.296876	40.615	-151.2542
29.663087	41.058	-167.1221
30.029298	41.388	177.6788
30.395509	41.582	164.6461
30.761720	41.632	154.9341
31.127931	41.547	149.2069
31.494142	41.368	147.5342
31.860353	41.159	149.3464
32.226563	40.995	153.5078
32.592774	40.933	158.5500
32.958985	40.982	163.0276
33.325196	41.103	165.8611
33.691407	41.238	166.5338
34.057618	41.337	165.1010
34.423829	41.364	162.0718
34.790040	41.305	158.2407
35.156251	41.162	154.5229
35.522462	40.948	151.8065
35.888673	40.694	150.8179
36.254884	40.445	152.0036
36.621095	40.258	155.4408
36.987306	40.190	160.8078
37.353517	40.274	167.4428
37.719728	40.504	174.4901
38.085939	40.833	-178.9099
38.452150	41.203	-173.4598
38.818361	41.556	-169.6243
39.184572	41.852	-167.6357
39.550783	42.071	-167.5513
39.916994	42.207	-169.3227
40.283205	42.268	-172.8461
40.649416	42.270	-177.9840
41.015627	42.239	175.4396
41.381838	42.200	167.6597
41.748049	42.176	158.9919
42.114260	42.180	149.8402
42.480471	42.212	140.6838
42.846682	42.259	132.0423
43.212893	42.297	124.4308
43.579103	42.301	118.3150
43.945314	42.249	114.0780
44.311525	42.126	111.9993
44.677736	41.926	112.2454
45.043947	41.654	114.8676
45.410158	41.323	119.8040
45.776369	40.958	126.8855
46.142580	40.593	135.8463
46.508791	40.264	146.3374
46.875002	40.010	157.9441
47.241213	39.859	170.2072
47.607424	39.820	-177.3438
47.973635	39.882	-165.1436
48.339846	40.015	-153.5329
48.706057	40.182	-142.7048
49.072268	40.344	-132.6743
49.438479	40.473	-123.2829
49.804690	40.548	-114.2350
50.170901	40.562	-105.1572
50.537112	40.517	-95.6640
50.903323	40.424	-85.4202
51.269534	40.302	-74.1924
51.635745	40.176	-61.8797
52.001956	40.074	-48.5222
52.368167	40.019	-34.2826
52.734378	40.027	-19.4081
53.100589	40.102	-4.1795
53.466800	40.237	11.1358
53.833011	40.416	26.3190
54.199222	40.622	41.2154
54.565432	40.837	55.7324
54.931643	41.051	69.8229
55.297854	41.254	83.4626
55.664065	41.443	96.6287
56.030276	41.618	109.2836
56.396487	41.779	121.3698
56.762698	41.927	132.8115
57.128909	42.062	143.5220
57.495120	42.189	153.4113
57.861331	42.311	162.3910
58.227542	42.435	170.3776
58.593753	42.571	177.2946
58.959964	42.729	-176.9241
59.326175	42.918	-172.3289
59.692386	43.148	-168.9474
60.058597	43.427	-166.7779
60.424808	43.758	-165.7853
60.791019	44.142	-165.9010
61.157230	44.577	-167.0264
61.523441	45.058	-169.0414
61.889652	45.577	-171.8137
62.255863	46.127	-175.2083
62.622074	46.700	-179.0966
62.988285	47.287	176.6379
63.354496	47.882	172.0972
63.720707	48.480	167.3672
64.086918	49.075	162.5191
64.453129	49.664	157.6108
64.819340	50.244	152.6885
65.185551	50.812	147.7878
65.551762	51.367	142.9344
65.917972	51.906	138.1453
66.284183	52.429	133.4288
66.650394	52.933	128.7865
67.016605	53.418	124.2140
67.382816	53.883	119.7027
67.749027	54.328	115.2422
68.115238	54.752	110.8214
68.481449	55.156	106.4301
68.847660	55.540	102.0598
69.213871	55.904	97.7045
69.580082	56.249	93.3597
69.946293	56.575	89.0221
70.312504	56.882	84.6878
70.678715	57.170	80.3516
71.044926	57.438	76.0062
71.411137	57.686	71.6416
71.777348	57.913	67.2461
72.143559	58.118	62.8077
72.509770	58.302	58.3153
72.875981	58.466	53.7609
73.242192	58.611	49.1414
73.608403	58.739	44.4593
73.974614	58.856	39.7235
74.340825	58.966	34.9487
74.707036	59.076	30.1544
75.073247	59.192	25.3632
75.439458	59.322	20.5985
75.805669	59.471	15.8825
76.171880	59.644	11.2333
76.538091	59.845	6.6637
76.904301	60.074	2.1792
77.270512	60.331	-2.2221
77.636723	60.614	-6.5500
78.002934	60.919	-10.8208
78.369145	61.240	-15.0565
78.735356	61.573	-19.2831
79.101567	61.911	-23.5290
79.467778	62.251	-27.8237
79.833989	62.586	-32.1961
80.200200	62.913	-36.6743
80.566411	63.228	-41.2844
80.932622	63.527	-46.0500
81.298833	63.808	-50.9925
81.665044	64.068	-56.1308
82.031255	64.305	-61.4813
82.397466	64.518	-67.0584
82.763677	64.706	-72.8745
83.129888	64.868	-78.9406
83.496099	65.003	-85.2662
83.862310	65.111	-91.8602
84.228521	65.192	-98.7309
84.594732	65.246	-105.8862
84.960943	65.274	-113.3339
85.327154	65.276	-121.0816
85.693365	65.252	-129.1368
86.059576	65.205	-137.5067
86.425787	65.136	-146.1978
86.791998	65.045	-155.2155
87.158209	64.936	-164.5634
87.524420	64.812	-174.2426
87.890631	64.675	175.7493
88.256841	64.529	165.4189
88.623052	64.380	154.7782
88.989263	64.233	143.8457
89.355474	64.095	132.6470
89.721685	63.973	121.2158
90.087896	63.876	109.5939
90.454107	63.813	97.8316
90.820318	63.791	85.9867
91.186529	63.818	74.1234
91.552740	63.899	62.3109
91.918951	64.037	50.6207
92.285162	64.234	39.1241
92.651373	64.487	27.8899
93.017584	64.793	16.9812
93.383795	65.145	6.4533
93.750006	65.536	-3.6478
94.116217	65.961	-13.2870
94.482428	66.411	-22.4403
94.848639	66.880	-31.0951
95.214850	67.364	-39.2495
95.581061	67.857	-46.9114
95.947272	68.354	-54.0975
96.313483	68.854	-60.8319
96.679694	69.352	-67.1450
97.045905	69.847	-73.0720
97.412116	70.337	-78.6516
97.778327	70.820	-83.9250
98.144538	71.294	-88.9352
98.510749	71.759	-93.7250
98.876960	72.214	-98.3370
99.243170	72.656	-102.8129
99.609381	73.086	-107.1923
99.975592	73.503	-111.5125
100.341803	73.906	-115.8080
100.708014	74.294	-120.1105
101.074225	74.667	-124.4480
101.440436	75.024	-128.8455
101.806647	75.364	-133.3244
102.172858	75.687	-137.9028
102.539069	75.994	-142.5955
102.905280	76.282	-147.4141
103.271491	76.552	-152.3679
103.637702	76.805	-157.4631
104.003913	77.039	-162.7041
104.370124	77.254	-168.0930
104.736335	77.451	-173.6306
105.102546	77.630	-179.3162
105.468757	77.791	174.8519
105.834968	77.933	168.8759
106.201179	78.057	162.7589
106.567390	78.164	156.5035
106.933601	78.253	150.1132
107.299812	78.326	143.5905
107.666023	78.383	136.9379
108.032234	78.424	130.1578
108.398445	78.450	123.2515
108.764656	78.462	116.2202
109.130867	78.461	109.0642
109.497078	78.448	101.7835
109.863289	78.425	94.3776
110.229500	78.391	86.8455
110.595710	78.350	79.1859
110.961921	78.302	71.3975
111.328132	78.249	63.4790
111.694343	78.193	55.4294
112.060554	78.135	47.2482
112.426765	78.078	38.9355
112.792976	78.024	30.4924
113.159187	77.975	21.9213
113.525398	77.932	13.2257
113.891609	77.897	4.4108
114.257820	77.872	-4.5166
114.624031	77.859	-13.5480
114.990242	77.859	-22.6730
115.356453	77.872	-31.8799
115.722664	77.898	-41.1552
116.088875	77.939	-50.4840
116.455086	77.994	-59.8505
116.821297	78.063	-69.2378
117.187508	78.143	-78.6287
117.553719	78.235	-88.0057
117.919930	78.337	-97.3514
118.286141	78.447	-106.6490
118.652352	78.564	-115.8822
119.018563	78.687	-125.0360
119.384774	78.812	-134.0964
119.750985	78.940	-143.0510
120.117196	79.069	-151.8889
120.483407	79.196	-160.6006
120.849618	79.322	-169.1790
121.215829	79.444	-177.6176
121.582040	79.562	174.0875
121.948250	79.675	165.9392
122.314461	79.782	157.9385
122.680672	79.882	150.0852
123.046883	79.975	142.3782
123.413094	80.059	134.8145
123.779305	80.135	127.3909
124.145516	80.203	120.1028
124.511727	80.261	112.9448
124.877938	80.309	105.9116
125.244149	80.348	98.9966
125.610360	80.377	92.1931
125.976571	80.395	85.4940
126.342782	80.404	78.8922
126.708993	80.402	72.3801
127.075204	80.391	65.9502
127.441415	80.368	59.5948
127.807626	80.336	53.3063
128.173837	80.294	47.0768
128.540048	80.242	40.8989
128.906259	80.180	34.7651
129.272470	80.108	28.6677
129.638681	80.027	22.5994
130.004892	79.937	16.5529
130.371103	79.838	10.5210
130.737314	79.731	4.4967
131.103525	79.616	-1.5269
131.469736	79.494	-7.5564
131.835947	79.364	-13.5986
132.202158	79.229	-19.6597
132.568369	79.088	-25.7457
132.934579	78.941	-31.8628
133.300790	78.791	-38.0164
133.667001	78.638	-44.2115
134.033212	78.483	-50.4536
134.399423	78.326	-56.7466
134.765634	78.170	-63.0946
135.131845	78.016	-69.5010
135.498056	77.864	-75.9684
135.864267	77.717	-82.4988
136.230478	77.575	-89.0931
136.596689	77.441	-95.7521
136.962900	77.316	-102.4746
137.329111	77.200	-109.2590
137.695322	77.096	-116.1029
138.061533	77.005	-123.0021
138.427744	76.927	-129.9520
138.793955	76.863	-136.9465
139.160166	76.814	-143.9790
139.526377	76.780	-151.0415
139.892588	76.761	-158.1254
140.258799	76.757	-165.2216
140.625010	76.767	-172.3201
140.991221	76.790	-179.4109
141.357432	76.825	173.5164
141.723643	76.873	166.4722
142.089854	76.931	159.4668
142.456065	76.998	152.5100
142.822276	77.074	145.6113
143.188487	77.156	138.7797
143.554698	77.245	132.0231
143.920909	77.340	125.3486
144.287119	77.438	118.7627
144.653330	77.540	112.2705
145.019541	77.645	105.8760
145.385752	77.753	99.5823
145.751963	77.862	93.3912
146.118174	77.973	87.3036
146.484385	78.085	81.3188
146.850596	78.198	75.4355
147.216807	78.311	69.6514
147.583018	78.425	63.9628
147.949229	78.539	58.3655
148.315440	78.653	52.8545
148.681651	78.767	47.4240
149.047862	78.880	42.0677
149.414073	78.994	36.7791
149.780284	79.107	31.5505
150.146495	79.220	26.3750
150.512706	79.331	21.2448
150.878917	79.442	16.1521
151.245128	79.552	11.0897
151.611339	79.661	6.0499
151.977550	79.769	1.0255
152.343761	79.875	-3.9905
152.709972	79.979	-9.0045
153.076183	80.082	-14.0227
153.442394	80.182	-19.0510
153.808605	80.281	-24.0944
154.174816	80.377	-29.1575
154.541027	80.471	-34.2443
154.907238	80.563	-39.3582
155.273448	80.652	-44.5020
155.639659	80.739	-49.6776
156.005870	80.824	-54.8868
156.372081	80.906	-60.1305
156.738292	80.985	-65.4087
157.104503	81.063	-70.7212
157.470714	81.138	-76.0671
157.836925	81.211	-81.4452
158.203136	81.282	-86.8535
158.569347	81.352	-92.2897
158.935558	81.420	-97.7511
159.301769	81.486	-103.2345
159.667980	81.552	-108.7366
160.034191	81.617	-114.2538
160.400402	81.681	-119.7821
160.766613	81.746	-125.3176
161.132824	81.810	-130.8561
161.499035	81.874	-136.3933
161.865246	81.940	-141.9250
162.231457	82.006	-147.4470
162.597668	82.073	-152.9550
162.963879	82.141	-158.4449
163.330090	82.210	-163.9127
163.696301	82.281	-169.3544
164.062512	82.354	-174.7664
164.428723	82.428	179.8552
164.794934	82.504	174.5137
165.161145	82.582	169.2124
165.527356	82.661	163.9545
165.893567	82.742	158.7428
166.259778	82.824	153.5803
