* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (2- OmniMic                  ), MICROPHONE (Master Volume), L, volume: 0,520
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: Jul 14, 2023 2:58:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DeltaSE 50 -12 - yeni
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.141602	48.445	138.6432
20.507813	48.379	138.0849
20.874023	47.936	134.1734
21.240234	47.255	126.6456
21.606445	46.348	113.8779
21.972656	45.278	95.0030
22.338867	44.204	70.7045
22.705078	43.374	43.4202
23.071289	42.986	16.5632
23.437500	42.995	-6.8077
23.803711	43.163	-24.8975
24.169922	43.270	-37.1714
24.536133	43.222	-43.8141
24.902344	43.054	-45.2946
25.268555	42.911	-42.3272
25.634766	43.020	-36.0784
26.000977	43.554	-28.2730
26.367188	44.492	-20.9541
26.733399	45.650	-15.9694
27.099610	46.834	-14.5050
27.465821	47.917	-16.9376
27.832032	48.834	-23.0110
28.198243	49.558	-32.1433
28.564454	50.080	-43.6859
28.930665	50.401	-57.0603
29.296876	50.533	-71.7895
29.663087	50.489	-87.4703
30.029298	50.291	-103.7324
30.395509	49.963	-120.2149
30.761720	49.531	-136.5747
31.127931	49.022	-152.5230
31.494142	48.459	-167.8680
31.860353	47.862	177.4617
32.226563	47.249	163.4333
32.592774	46.633	149.9659
32.958985	46.028	137.0103
33.325196	45.442	124.6207
33.691407	44.881	112.9884
34.057618	44.347	102.4212
34.423829	43.839	93.2714
34.790040	43.353	85.8346
35.156251	42.890	80.2529
35.522462	42.457	76.4555
35.888673	42.062	74.1586
36.254884	41.713	72.9299
36.621095	41.407	72.2960
36.987306	41.136	71.8549
37.353517	40.885	71.3567
37.719728	40.643	70.7287
38.085939	40.409	70.0513
38.452150	40.196	69.5024
38.818361	40.024	69.2959
39.184572	39.917	69.6333
39.550783	39.893	70.6775
39.916994	39.960	72.5460
40.283205	40.119	75.3125
40.649416	40.360	79.0050
41.015627	40.677	83.5946
41.381838	41.061	88.9769
41.748049	41.503	94.9588
42.114260	41.989	101.2601
42.480471	42.500	107.5366
42.846682	43.013	113.4203
43.212893	43.504	118.5630
43.579103	43.951	122.6701
43.945314	44.338	125.5180
44.311525	44.654	126.9534
44.677736	44.891	126.8830
45.043947	45.047	125.2603
45.410158	45.123	122.0763
45.776369	45.124	117.3579
46.142580	45.058	111.1744
46.508791	44.935	103.6493
46.875002	44.767	94.9722
47.241213	44.569	85.4057
47.607424	44.355	75.2805
47.973635	44.140	64.9758
48.339846	43.933	54.8876
48.706057	43.740	45.3896
49.072268	43.565	36.7953
49.438479	43.408	29.3305
49.804690	43.267	23.1198
50.170901	43.143	18.1879
50.537112	43.037	14.4741
50.903323	42.954	11.8556
51.269534	42.900	10.1719
51.635745	42.886	9.2490
52.001956	42.922	8.9166
52.368167	43.022	9.0178
52.734378	43.202	9.4102
53.100589	43.470	9.9614
53.466800	43.833	10.5416
53.833011	44.283	11.0172
54.199222	44.809	11.2488
54.565432	45.387	11.0968
54.931643	45.994	10.4315
55.297854	46.606	9.1459
55.664065	47.201	7.1656
56.030276	47.761	4.4535
56.396487	48.271	1.0081
56.762698	48.722	-3.1421
57.128909	49.106	-7.9460
57.495120	49.418	-13.3371
57.861331	49.657	-19.2383
58.227542	49.821	-25.5651
58.593753	49.914	-32.2277
58.959964	49.938	-39.1312
59.326175	49.901	-46.1777
59.692386	49.812	-53.2666
60.058597	49.680	-60.2981
60.424808	49.519	-67.1772
60.791019	49.346	-73.8185
61.157230	49.180	-80.1526
61.523441	49.039	-86.1318
61.889652	48.945	-91.7358
62.255863	48.917	-96.9740
